Messstelle:                ;Lebern, Br  3532
HZB-Nummer:                ;310532
HD-Nummer:                 ;uw3532
DBMS-Nummer:               ;6002063
PorenGW-Gebiet:            ;380 Grazer Feld
Grundwasserkörper:         ;Grazer Feld (Graz/Andritz - Wildon) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.11.2011
 Geländehöhe:              ;335,41
 Messpunkthöhe:            ;335,86
 Sohllage:                 ;323,66
 T-Messtiefe u.GOK:        ;11,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  15.12.1939               ;15 26 51                 ;46 59 31
  01.01.2003               ;15 26 51                 ;46 59 33
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
01.03.1982 00:00:00   ;   324,63 ;     
01.04.1982 00:00:00   ;   324,72 ;     
01.05.1982 00:00:00   ;   324,80 ;     
01.06.1982 00:00:00   ;   324,89 ;     
01.07.1982 00:00:00   ;   324,93 ;     
01.08.1982 00:00:00   ;   324,95 ;     
01.09.1982 00:00:00   ;   325,02 ;     
01.10.1982 00:00:00   ;   325,55 ;     
01.11.1982 00:00:00   ;   325,85 ;     
01.12.1982 00:00:00   ;   325,69 ;     
01.01.1983 00:00:00   ;   325,82 ;     
01.02.1983 00:00:00   ;   325,80 ;     
01.03.1983 00:00:00   ;   325,66 ;     
01.04.1983 00:00:00   ;   325,55 ;     
01.05.1983 00:00:00   ;   325,53 ;     
01.06.1983 00:00:00   ;   325,60 ;     
01.07.1983 00:00:00   ;   325,51 ;     
01.08.1983 00:00:00   ;   325,43 ;     
01.09.1983 00:00:00   ;   325,35 ;     
01.10.1983 00:00:00   ;   325,24 ;     
01.11.1983 00:00:00   ;   325,10 ;     
01.12.1983 00:00:00   ;   324,90 ;     
01.01.1984 00:00:00   ;   324,71 ;     
01.02.1984 00:00:00   ;   324,56 ;     
01.03.1984 00:00:00   ;   324,59 ;     
01.04.1984 00:00:00   ;   324,73 ;     
01.05.1984 00:00:00   ;   324,92 ;     
01.06.1984 00:00:00   ;   325,06 ;     
01.07.1984 00:00:00   ;   325,06 ;     
01.08.1984 00:00:00   ;   325,04 ;     
01.09.1984 00:00:00   ;   324,93 ;     
01.10.1984 00:00:00   ;   324,86 ;     
01.11.1984 00:00:00   ;   324,79 ;     
01.12.1984 00:00:00   ;   324,64 ;     
01.01.1985 00:00:00   ;   324,48 ;     
01.02.1985 00:00:00   ;   324,31 ;     
01.03.1985 00:00:00   ;   324,23 ;     
01.04.1985 00:00:00   ;   324,51 ;     
01.05.1985 00:00:00   ;   324,83 ;     
01.06.1985 00:00:00   ;   325,14 ;     
